Problmes,MOEADToM,MOEADCDP,MOEADSP,MOEADSR,MOEADEpsilon,
MW1,2.30972e-02,  Infinity,6.69724e-03,  Infinity,  Infinity,
MW2,5.45230e-02,  Infinity,4.26414e-02,3.02451e-02,1.61267e-02,
MW3,2.94285e-03,3.55022e-02,3.74657e-03,3.76582e-01,4.39619e-03,
MW5,3.87260e-01,1.98113e-01,1.95718e-01,3.87254e-01,1.46846e-02,
MW6,2.45954e-01,4.85051e-01,2.79622e-02,2.16888e-01,2.93366e-02,
MW7,2.38624e-03,2.54510e-03,1.25518e-01,4.28715e-03,3.08419e-03,
MW9,1.46567e-02,9.50001e-03,1.90691e-01,2.50725e-02,4.46727e-01,
MW10,  Infinity,6.73902e-02,7.64507e-02,1.66481e-01,6.82153e-02,
MW11,3.39511e-03,1.96030e-01,1.93455e-02,1.97370e-01,5.39219e-03,
MW12,3.82893e-03,1.04786e-02,7.05528e-03,6.66529e-03,1.02504e-01,
MW13,6.15897e-02,9.29750e-02,6.96411e-02,9.48012e-02,5.81470e-02,

